Frame Number,Person,Bicycle,Car,FPS
0,5,1,1,0.32
1,5,1,1,0.97
2,4,1,1,1.01
3,4,1,1,1.01
4,4,1,1,1.0
5,5,1,1,1.0
6,5,1,1,1.02
7,4,1,1,0.98
8,5,1,1,1.01
9,4,1,1,1.05
10,4,1,1,1.01
11,4,1,1,1.04
12,4,1,1,1.0
13,4,1,1,0.86
14,4,1,1,1.01
15,4,1,1,1.0
16,4,1,1,1.01
17,4,1,1,1.0
18,4,1,1,1.0
19,5,1,1,1.03
20,4,1,1,1.03
21,4,1,1,1.0
22,4,1,1,1.01
23,4,1,1,1.02
24,4,1,1,1.01
25,4,1,1,1.05
26,4,1,1,1.06
27,4,1,1,0.98
28,4,1,1,1.01
29,4,1,1,1.03
30,4,1,1,1.05
31,4,1,1,1.05
32,4,1,1,1.06
33,4,1,1,1.07
34,4,1,1,1.06
35,4,1,1,1.06
36,4,1,1,1.03
37,4,1,1,1.06
38,4,1,1,1.03
39,4,1,1,0.97
40,4,1,1,0.91
41,4,1,1,0.97
42,4,1,1,0.97
43,4,1,1,0.84
44,4,1,1,0.82
45,4,1,1,0.89
46,4,1,1,0.88
47,4,1,1,0.9
48,4,1,1,0.96
49,4,1,1,0.88
50,4,1,1,0.9
51,4,1,1,0.91
52,5,1,1,0.9
53,4,1,1,0.98
54,4,0,1,0.98
55,5,0,1,0.93
56,4,0,1,1.01
57,4,0,1,1.01
58,4,0,1,1.01
59,4,0,1,1.06
60,4,1,0,1.03
61,4,2,0,0.96
62,4,1,0,1.03
63,3,1,1,1.05
64,3,1,1,1.03
65,3,1,1,1.04
66,3,1,1,1.01
67,2,1,1,1.04
68,3,1,1,1.04
69,2,1,1,1.06
70,3,1,1,1.04
71,3,2,1,1.05
72,4,2,1,1.05
73,4,2,1,1.03
74,4,2,1,1.01
75,4,1,1,1.04
76,4,2,1,1.03
77,4,1,1,1.06
78,4,1,1,1.04
79,4,1,1,1.03
80,3,1,1,1.01
81,3,1,1,1.06
82,3,1,1,1.04
83,4,1,1,1.03
84,4,1,1,1.0
85,3,1,1,0.99
86,5,1,1,0.98
87,5,1,1,0.94
88,5,1,1,0.93
89,5,1,1,0.95
90,5,1,1,0.95
91,5,1,1,0.98
92,5,1,1,0.94
93,5,1,1,0.9
94,5,1,1,0.95
95,5,1,1,0.93
96,5,1,1,0.91
97,5,1,1,0.95
98,4,1,1,0.96
99,5,1,1,0.94
100,4,1,1,0.94
101,4,1,1,0.99
102,6,1,1,1.01
